*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,NEW BRUNSWICK,AWHP,0,0,13,17
*data,2-DR,NEW BRUNSWICK,AWHP,BIPHVT,0,7,17
*data,2-DR,NEW BRUNSWICK,AWHP,CVB,0,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,FOH,0,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,FVB,0,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,ICE_CHP,0,13,17
*data,2-DR,NEW BRUNSWICK,AWHP,PCM,0,10,17
*data,2-DR,NEW BRUNSWICK,AWHP,PV,0,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,SAHP_P,0,9,17
*data,2-DR,NEW BRUNSWICK,AWHP,SAHP_S,0,9,17
*data,2-DR,NEW BRUNSWICK,AWHP,SCS,0,9,17
*data,2-DR,NEW BRUNSWICK,AWHP,SDHW,0,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,SE_CHP,0,13,17
*data,2-DR,NEW BRUNSWICK,AWHP,WAM,0,12,17
*data,2-DR,NEW BRUNSWICK,AWHP,WTM2010,0,12,17
*data,2-DR,NEW BRUNSWICK,AWHP,WTM2100,0,12,17
*data,2-DR,NEW BRUNSWICK,AWHP,WTM2110,0,12,17
*data,2-DR,NEW BRUNSWICK,AWHP,WTM3000,0,13,17
*data,2-DR,NEW BRUNSWICK,AWHP,WTM3200,0,13,17
*data,2-DR,NEW BRUNSWICK,AWHP,WTM3210,0,13,17
*data,2-DR,NEW BRUNSWICK,AWHP,WTM3310,0,13,17
*data,2-DR,NEW BRUNSWICK,AWHP,BIPHVT,CVB,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,BIPHVT,FOH,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,BIPHVT,FVB,0,17
*data,2-DR,NEW BRUNSWICK,AWHP,BIPHVT,ICE_CHP,7,17
*data,2-DR,NEW BRUNSWICK,AWHP,BIPHVT,PCM,5,17
*data,2-DR,NEW BRUNSWICK,AWHP,BIPHVT,PV,0,17
